gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000004700	1035.33054232716	0.368589521968897	0.10168997337226	3.62463977269016	0.00028936449330352	0.00422545385094918
ENSG00000004766	478.92540525978	-0.0302648831433728	0.112577137626349	-0.2688368507274	0.788055234118599	0.996318548247216
ENSG00000004776	2774.56152530307	-0.0738358214533968	0.0893385510460031	-0.826472117455503	0.408536328493674	0.996318548247216
ENSG00000004777	97.1812428538078	-0.409184684239151	0.214433766267321	-1.90821012642685	0.0563640633304066	0.321809763835786
ENSG00000004779	365.676604490797	0.104381993667107	0.12791965152747	0.815996544867793	0.414502111847618	0.996318548247216
ENSG00000004799	914.379014067714	2.64493111947607	0.628564637752677	4.20789042306382	2.57765799439603e-05	0.000488791135492583
ENSG00000004809	0	NA	NA	NA	NA	NA
ENSG00000004838	12.8074400018354	-0.414672419614472	0.553710488423774	-0.748897534512852	0.453918966455137	0.996318548247216
ENSG00000004846	17.9991680687101	-1.69783433138054	0.557865845451223	-3.04344556173226	0.00233885753637392	0.0255981762213534
ENSG00000004848	0	NA	NA	NA	NA	NA
ENSG00000004864	150.442543565193	-0.000643222792108838	0.173511270022564	-0.00370709517615305	0.997042172768206	0.999007910206173
ENSG00000004866	412.129049598094	-0.562108171004673	0.136173863092674	-4.12787122461325	3.66137049805515e-05	0.000666716045698629
ENSG00000004897	1518.08560110584	0.0541795601801875	0.0879130331083564	0.616285870985807	0.537705862295391	0.996318548247216
ENSG00000004939	0	NA	NA	NA	NA	NA
ENSG00000004948	0	NA	NA	NA	NA	NA
ENSG00000004961	437.433192424783	-0.146670185375636	0.133187027862661	-1.10123476534726	0.270794494587992	0.88958764413998
ENSG00000004975	991.984168983081	-0.320057859306261	0.0975310333145283	-3.28160020897251	0.00103219840108359	0.0127808539718337
ENSG00000005001	0	NA	NA	NA	NA	NA
ENSG00000005007	2261.97159931419	0.239248559315	0.0828300855240498	2.88842583949203	0.00387175315284125	0.039054763795191
ENSG00000005020	755.689262420725	0.217551901609586	0.109722829678306	1.98274053127706	0.0473964197315184	0.283320373637112
ENSG00000005022	1118.96464020574	-0.0327761590391693	0.0945508800964879	-0.346651020125055	0.72885351126204	0.996318548247216
ENSG00000005059	211.730039424173	0.0870674158238864	0.155281526174869	0.560706852699502	0.574997394877115	0.996318548247216
